date,store_id,sku_id,category,region,price,promotion,holiday,units_sold,lead_time_days,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28,day_of_week,month,week_of_year,weekend
2024-01-29,S01,SKU001,Beverages,South,218.69,0,0,69,4,91.0,62.0,52.0,60.0,67.71428571428571,63.67857142857143,0,1,5,0
2024-01-30,S01,SKU001,Beverages,South,216.86,0,0,62,8,69.0,64.0,59.0,53.0,68.71428571428571,64.0,1,1,5,0
2024-01-31,S01,SKU001,Beverages,South,201.32,1,0,87,7,62.0,75.0,85.0,58.0,68.42857142857143,64.32142857142857,2,1,5,0
2024-02-01,S01,SKU001,Beverages,South,220.72,0,0,60,3,87.0,62.0,63.0,60.0,70.14285714285714,65.35714285714286,3,2,5,0
2024-02-02,S01,SKU001,Beverages,South,220.18,0,0,60,7,60.0,61.0,59.0,76.0,69.85714285714286,65.35714285714286,4,2,5,0
2024-02-03,S01,SKU001,Beverages,South,225.22,0,0,67,5,60.0,59.0,59.0,62.0,69.71428571428571,64.78571428571429,5,2,5,1
2024-02-04,S01,SKU001,Beverages,South,202.89,1,0,91,3,67.0,91.0,69.0,66.0,70.85714285714286,64.96428571428571,6,2,5,1
2024-02-05,S01,SKU001,Beverages,South,221.12,0,0,71,5,91.0,69.0,62.0,69.0,70.85714285714286,65.85714285714286,0,2,6,0
2024-02-06,S01,SKU001,Beverages,South,217.83,0,0,59,9,71.0,62.0,64.0,55.0,71.14285714285714,65.92857142857143,1,2,6,0
2024-02-07,S01,SKU001,Beverages,South,222.04,0,0,63,6,59.0,87.0,75.0,55.0,70.71428571428571,66.07142857142857,2,2,6,0
2024-02-08,S01,SKU001,Beverages,South,216.59,0,0,66,2,63.0,60.0,62.0,63.0,67.28571428571429,66.35714285714286,3,2,6,0
2024-02-09,S01,SKU001,Beverages,South,229.55,0,0,65,2,66.0,60.0,61.0,56.0,68.14285714285714,66.46428571428571,4,2,6,0
2024-02-10,S01,SKU001,Beverages,South,212.91,0,0,72,9,65.0,67.0,59.0,65.0,68.85714285714286,66.78571428571429,5,2,6,1
2024-02-11,S01,SKU001,Beverages,South,217.92,0,0,69,4,72.0,91.0,91.0,65.0,69.57142857142857,67.03571428571429,6,2,6,1
2024-02-12,S01,SKU001,Beverages,South,220.46,0,0,64,4,69.0,71.0,69.0,52.0,66.42857142857143,67.17857142857143,0,2,7,0
2024-02-13,S01,SKU001,Beverages,South,200.87,1,0,85,6,64.0,59.0,62.0,59.0,65.42857142857143,67.60714285714286,1,2,7,0
2024-02-14,S01,SKU001,Beverages,South,220.37,0,0,70,6,85.0,63.0,87.0,85.0,69.14285714285714,68.53571428571429,2,2,7,0
2024-02-15,S01,SKU001,Beverages,South,216.76,0,0,62,9,70.0,66.0,60.0,63.0,70.14285714285714,68.0,3,2,7,0
2024-02-16,S01,SKU001,Beverages,South,217.23,0,0,70,9,62.0,65.0,60.0,59.0,69.57142857142857,67.96428571428571,4,2,7,0
2024-02-17,S01,SKU001,Beverages,South,221.21,0,0,70,4,70.0,72.0,67.0,59.0,70.28571428571429,68.35714285714286,5,2,7,1
2024-02-18,S01,SKU001,Beverages,South,217.78,0,0,73,6,70.0,69.0,91.0,69.0,70.0,68.75,6,2,7,1
2024-02-19,S01,SKU001,Beverages,South,215.72,0,0,67,2,73.0,64.0,71.0,62.0,70.57142857142857,68.89285714285714,0,2,8,0
2024-02-20,S01,SKU001,Beverages,South,220.47,0,0,65,2,67.0,85.0,59.0,64.0,71.0,69.07142857142857,1,2,8,0
2024-02-21,S01,SKU001,Beverages,South,220.66,0,0,64,6,65.0,70.0,63.0,75.0,68.14285714285714,69.10714285714286,2,2,8,0
2024-02-22,S01,SKU001,Beverages,South,221.35,0,0,74,5,64.0,62.0,66.0,62.0,67.28571428571429,68.71428571428571,3,2,8,0
2024-02-23,S01,SKU001,Beverages,South,215.43,0,0,75,4,74.0,70.0,65.0,61.0,69.0,69.14285714285714,4,2,8,0
2024-02-24,S01,SKU001,Beverages,South,219.35,0,0,70,4,75.0,70.0,72.0,59.0,69.71428571428571,69.64285714285714,5,2,8,1
2024-02-25,S01,SKU001,Beverages,South,224.58,0,0,67,6,70.0,73.0,69.0,91.0,69.71428571428571,70.03571428571429,6,2,8,1
2024-02-26,S01,SKU001,Beverages,South,218.64,0,0,67,5,67.0,67.0,64.0,69.0,68.85714285714286,69.17857142857143,0,2,9,0
2024-02-27,S01,SKU001,Beverages,South,206.62,1,0,88,3,67.0,65.0,85.0,62.0,68.85714285714286,69.10714285714286,1,2,9,0
2024-02-28,S01,SKU001,Beverages,South,213.18,0,0,67,9,88.0,64.0,70.0,87.0,72.14285714285714,70.03571428571429,2,2,9,0
2024-02-29,S01,SKU001,Beverages,South,217.04,0,0,66,7,67.0,74.0,62.0,60.0,72.57142857142857,69.32142857142857,3,2,9,0
2024-03-01,S01,SKU001,Beverages,South,215.56,0,0,68,5,66.0,75.0,70.0,60.0,71.42857142857143,69.53571428571429,4,3,9,0
2024-03-02,S01,SKU001,Beverages,South,218.34,0,0,71,2,68.0,70.0,70.0,67.0,70.42857142857143,69.82142857142857,5,3,9,1
2024-03-03,S01,SKU001,Beverages,South,221.72,0,0,79,6,71.0,67.0,73.0,91.0,70.57142857142857,69.96428571428571,6,3,9,1
2024-03-04,S01,SKU001,Beverages,South,219.2,0,0,69,4,79.0,67.0,67.0,71.0,72.28571428571429,69.53571428571429,0,3,10,0
2024-03-05,S01,SKU001,Beverages,South,216.36,0,0,68,7,69.0,88.0,65.0,59.0,72.57142857142857,69.46428571428571,1,3,10,0
2024-03-06,S01,SKU001,Beverages,South,226.13,0,0,63,5,68.0,67.0,64.0,63.0,69.71428571428571,69.78571428571429,2,3,10,0
2024-03-07,S01,SKU001,Beverages,South,215.11,0,0,65,8,63.0,66.0,74.0,66.0,69.14285714285714,69.78571428571429,3,3,10,0
2024-03-08,S01,SKU001,Beverages,South,200.13,1,0,86,2,65.0,68.0,75.0,65.0,69.0,69.75,4,3,10,0
