date,store_id,sku_id,category,region,price,promotion,holiday,units_sold,lead_time_days,forecast_units,absolute_error
2025-08-13,S01,SKU001,Beverages,South,217.42,0,0,51,2,57.29,6.29
2025-08-14,S01,SKU001,Beverages,South,221.58,0,0,58,8,57.52,0.48
2025-08-15,S01,SKU001,Beverages,South,222.47,0,1,60,6,65.5,5.5
2025-08-16,S01,SKU001,Beverages,South,221.15,0,0,65,2,61.93,3.07
2025-08-17,S01,SKU001,Beverages,South,213.97,0,0,59,5,61.87,2.87
2025-08-18,S01,SKU001,Beverages,South,225.62,0,0,58,7,56.69,1.31
2025-08-19,S01,SKU001,Beverages,South,218.92,0,0,56,5,57.11,1.11
2025-08-20,S01,SKU001,Beverages,South,203.96,1,0,74,6,74.88,0.88
2025-08-21,S01,SKU001,Beverages,South,198.07,1,0,65,4,75.99,10.99
2025-08-22,S01,SKU001,Beverages,South,200.6,1,0,68,4,76.23,8.23
2025-08-23,S01,SKU001,Beverages,South,220.12,0,0,50,4,60.74,10.74
2025-08-24,S01,SKU001,Beverages,South,203.52,1,0,74,4,80.27,6.27
2025-08-25,S01,SKU001,Beverages,South,223.31,0,0,60,2,56.12,3.88
2025-08-26,S01,SKU001,Beverages,South,217.86,0,0,59,6,56.53,2.47
2025-08-27,S01,SKU001,Beverages,South,222.02,0,0,56,3,56.27,0.27
2025-08-28,S01,SKU001,Beverages,South,222.53,0,0,60,5,55.72,4.28
2025-08-29,S01,SKU001,Beverages,South,213.97,0,0,64,5,56.31,7.69
2025-08-30,S01,SKU001,Beverages,South,200.18,1,0,83,8,78.41,4.59
2025-08-31,S01,SKU001,Beverages,South,218.25,0,0,67,6,59.81,7.19
2025-09-01,S01,SKU001,Beverages,South,202.99,1,0,75,8,74.08,0.92
2025-09-02,S01,SKU001,Beverages,South,205.11,1,0,74,9,74.86,0.86
2025-09-03,S01,SKU001,Beverages,South,220.15,0,0,56,5,57.43,1.43
2025-09-04,S01,SKU001,Beverages,South,222.49,0,0,58,7,57.73,0.27
2025-09-05,S01,SKU001,Beverages,South,220.16,0,0,55,6,56.5,1.5
2025-09-06,S01,SKU001,Beverages,South,227.22,0,0,56,6,61.25,5.25
2025-09-07,S01,SKU001,Beverages,South,220.26,0,0,71,5,60.86,10.14
2025-09-08,S01,SKU001,Beverages,South,221.01,0,0,51,3,58.02,7.02
2025-09-09,S01,SKU001,Beverages,South,222.73,0,0,56,3,56.6,0.6
2025-09-10,S01,SKU001,Beverages,South,219.63,0,0,53,9,56.24,3.24
2025-09-11,S01,SKU001,Beverages,South,217.57,0,0,51,2,57.19,6.19
2025-09-12,S01,SKU001,Beverages,South,223.03,0,0,53,6,56.47,3.47
2025-09-13,S01,SKU001,Beverages,South,222.35,0,0,55,6,60.52,5.52
2025-09-14,S01,SKU001,Beverages,South,220.68,0,0,62,4,59.89,2.11
2025-09-15,S01,SKU001,Beverages,South,222.18,0,0,51,4,56.56,5.56
2025-09-16,S01,SKU001,Beverages,South,216.83,0,0,61,4,56.54,4.46
2025-09-17,S01,SKU001,Beverages,South,224.05,0,0,68,5,56.86,11.14
2025-09-18,S01,SKU001,Beverages,South,217.5,0,0,52,4,57.77,5.77
2025-09-19,S01,SKU001,Beverages,South,218.95,0,0,48,4,56.9,8.9
2025-09-20,S01,SKU001,Beverages,South,220.11,0,0,61,6,60.42,0.58
2025-09-21,S01,SKU001,Beverages,South,201.21,1,0,88,2,80.56,7.44
2025-09-22,S01,SKU001,Beverages,South,213.8,0,0,50,9,55.77,5.77
2025-09-23,S01,SKU001,Beverages,South,219.54,0,0,52,7,55.71,3.71
2025-09-24,S01,SKU001,Beverages,South,221.75,0,0,58,8,54.97,3.03
2025-09-25,S01,SKU001,Beverages,South,220.06,0,0,55,2,56.62,1.62
2025-09-26,S01,SKU001,Beverages,South,219.35,0,0,54,4,55.97,1.97
2025-09-27,S01,SKU001,Beverages,South,218.16,0,0,58,5,59.58,1.58
2025-09-28,S01,SKU001,Beverages,South,221.94,0,0,64,4,59.86,4.14
2025-09-29,S01,SKU001,Beverages,South,221.38,0,0,57,6,55.23,1.77
2025-09-30,S01,SKU001,Beverages,South,222.55,0,0,59,8,54.17,4.83
2025-10-01,S01,SKU001,Beverages,South,199.72,1,0,72,5,71.61,0.39
2025-10-02,S01,SKU001,Beverages,South,219.62,0,1,59,8,63.51,4.51
2025-10-03,S01,SKU001,Beverages,South,217.41,0,0,55,8,54.8,0.2
2025-10-04,S01,SKU001,Beverages,South,216.31,0,0,60,2,59.57,0.43
2025-10-05,S01,SKU001,Beverages,South,227.15,0,0,59,6,59.17,0.17
2025-10-06,S01,SKU001,Beverages,South,216.39,0,0,48,7,54.84,6.84
2025-10-07,S01,SKU001,Beverages,South,216.5,0,0,55,7,54.37,0.63
2025-10-08,S01,SKU001,Beverages,South,216.96,0,0,53,3,54.31,1.31
2025-10-09,S01,SKU001,Beverages,South,215.34,0,0,60,9,54.09,5.91
2025-10-10,S01,SKU001,Beverages,South,217.89,0,0,47,6,55.02,8.02
2025-10-11,S01,SKU001,Beverages,South,205.88,1,0,72,2,75.46,3.46
2025-10-12,S01,SKU001,Beverages,South,222.17,0,0,47,8,60.02,13.02
2025-10-13,S01,SKU001,Beverages,South,221.04,0,0,56,5,54.56,1.44
2025-10-14,S01,SKU001,Beverages,South,221.76,0,0,43,8,55.08,12.08
2025-10-15,S01,SKU001,Beverages,South,219.3,0,0,57,2,53.8,3.2
2025-10-16,S01,SKU001,Beverages,South,221.95,0,0,54,8,53.45,0.55
2025-10-17,S01,SKU001,Beverages,South,221.31,0,0,49,5,53.56,4.56
2025-10-18,S01,SKU001,Beverages,South,222.94,0,0,60,5,57.43,2.57
