store_id,sku_id,avg_daily_forecast,forecast_std,lead_time_days,safety_stock,reorder_point
S01,SKU001,62.31,8.07,6.0,32.6,406.44
S01,SKU002,40.53,5.15,6.0,20.82,264.02
S01,SKU003,22.53,2.53,6.0,10.24,145.39
S01,SKU004,50.03,6.42,5.0,23.68,273.82
S01,SKU005,59.43,7.08,6.0,28.63,385.19
S01,SKU006,56.61,7.75,5.0,28.59,311.63
S01,SKU007,44.86,4.54,5.0,16.75,241.07
S01,SKU008,37.89,4.57,5.0,16.85,206.31
S01,SKU009,25.6,2.87,5.0,10.6,138.62
S01,SKU010,70.68,9.32,5.0,34.38,387.77
S01,SKU011,36.93,4.84,6.0,19.55,241.14
S01,SKU012,71.1,7.24,6.0,29.28,455.87
S01,SKU013,52.49,5.95,6.0,24.06,338.97
S01,SKU014,52.28,6.79,5.0,25.06,286.48
S01,SKU015,24.49,3.1,6.0,12.51,159.45
S01,SKU016,26.58,3.39,6.0,13.68,173.18
S01,SKU017,23.49,3.34,6.0,13.51,154.44
S01,SKU018,48.72,6.3,5.0,23.23,266.81
S01,SKU019,50.75,6.59,6.0,26.65,331.16
S01,SKU020,72.0,7.87,5.0,29.04,389.03
S02,SKU001,47.06,5.76,6.0,23.3,305.64
S02,SKU002,50.13,6.5,6.0,26.26,327.04
S02,SKU003,62.56,8.15,5.0,30.06,342.84
S02,SKU004,21.73,3.38,5.0,12.48,121.13
S02,SKU005,52.63,6.05,6.0,24.46,340.25
S02,SKU006,42.75,4.98,5.0,18.38,232.12
S02,SKU007,24.51,2.29,5.0,8.46,131.0
S02,SKU008,51.15,5.99,5.0,22.08,277.85
S02,SKU009,33.2,4.4,6.0,17.78,217.01
S02,SKU010,43.28,5.71,6.0,23.08,282.76
S02,SKU011,36.71,4.78,5.0,17.63,201.18
S02,SKU012,23.47,3.29,6.0,13.3,154.13
S02,SKU013,59.24,7.94,5.0,29.3,325.5
S02,SKU014,58.09,7.17,6.0,28.97,377.53
S02,SKU015,23.77,3.5,6.0,14.16,156.77
S02,SKU016,21.61,3.33,5.0,12.28,120.35
S02,SKU017,19.48,2.59,5.0,9.56,106.95
S02,SKU018,30.25,4.65,6.0,18.8,200.29
S02,SKU019,49.19,7.62,6.0,30.82,325.98
S02,SKU020,48.18,5.74,5.0,21.18,262.07
S03,SKU001,69.48,8.15,5.0,30.08,377.46
S03,SKU002,33.35,4.41,5.0,16.27,183.0
S03,SKU003,40.27,4.89,5.0,18.03,219.37
S03,SKU004,55.61,6.33,6.0,25.59,359.24
S03,SKU005,66.05,8.46,5.0,31.22,361.47
S03,SKU006,40.91,4.81,6.0,19.43,264.89
S03,SKU007,67.48,6.38,6.0,25.79,430.66
S03,SKU008,69.16,9.07,5.0,33.47,379.28
S03,SKU009,38.56,4.68,6.0,18.93,250.31
S03,SKU010,58.22,5.74,5.0,21.18,312.27
